"","lon","lat","SpeciesName","Status"
"1",-8.121846,42.290139,"Acacia dealbata","Invasive"
"2",-8.151667,42.265278,"Acacia dealbata","Invasive"
"3",-8.013611,42.347778,"Acacia dealbata","Invasive"
"4",-8.118889,42.293333,"Acacia dealbata","Invasive"
"5",-8.048611,42.331111,"Acacia dealbata","Invasive"
"6",-8.147222,42.274167,"Acacia dealbata","Invasive"
"7",-8.119167,42.369722,"Acacia dealbata","Invasive"
"8",-8.060556,42.363889,"Acacia dealbata","Invasive"
"9",-8.1825,42.200278,"Acacia dealbata","Invasive"
"10",-8.189444,42.2125,"Acacia dealbata","Invasive"
"11",-8.135278,42.248889,"Acacia dealbata","Invasive"
"12",-7.749738,42.448106,"Acacia dealbata","Invasive"
"13",-8.161111,42.267222,"Acacia dealbata","Invasive"
"14",-8.516403,42.079865,"Acacia dealbata","Invasive"
"15",-8.135278,42.300556,"Acacia dealbata","Invasive"
"16",-8.173056,42.255278,"Acacia dealbata","Invasive"
"17",-8.120833,42.228611,"Acacia dealbata","Invasive"
"18",-8.131944,42.358333,"Acacia dealbata","Invasive"
"19",-8.141389,42.375278,"Acacia dealbata","Invasive"
"20",-8.142222,42.353889,"Acacia dealbata","Invasive"
"21",2.149422,41.417458,"Acacia dealbata","Invasive"
"22",-8.239167,42.171111,"Acacia dealbata","Invasive"
"23",-8.683653,42.183274,"Acacia dealbata","Invasive"
"24",-8.189444,42.212222,"Acacia dealbata","Invasive"
"25",-8.614324,42.806647,"Acacia dealbata","Invasive"
"26",-7.200725,39.195147,"Acacia dealbata","Invasive"
"27",-5.629687,37.845837,"Acacia dealbata","Invasive"
"28",3.238349,42.250348,"Acacia dealbata","Invasive"
"29",2.568558,41.659813,"Acacia dealbata","Invasive"
"30",-4.38294,40.406058,"Acacia dealbata","Invasive"
"31",2.815161,41.684501,"Acacia dealbata","Invasive"
"32",2.857403,41.70031,"Acacia dealbata","Invasive"
"33",2.095611,41.770772,"Acacia dealbata","Invasive"
"34",-5.390344,43.513274,"Acacia dealbata","Invasive"
"35",-5.282811,39.726406,"Acacia dealbata","Invasive"
"36",-7.707071,42.517165,"Acacia dealbata","Invasive"
"37",2.831727,41.712945,"Acacia dealbata","Invasive"
"38",-7.211305,42.327702,"Acacia dealbata","Invasive"
"39",-4.784287,37.895278,"Acacia dealbata","Invasive"
"40",-4.527588,36.594714,"Acacia dealbata","Invasive"
"41",-8.788508,42.582042,"Acacia dealbata","Invasive"
"42",-8.589443,42.223578,"Acacia dealbata","Invasive"
"43",2.041048,41.534205,"Acacia dealbata","Invasive"
"44",2.041149,41.534107,"Acacia dealbata","Invasive"
"45",-7.800734,43.16352,"Acacia dealbata","Invasive"
"46",2.623987,41.888824,"Acacia dealbata","Invasive"
"47",2.976925,42.392728,"Acacia dealbata","Invasive"
"48",-3.77643,40.6822,"Acacia dealbata","Invasive"
"49",-1.55165,42.83092,"Acacia dealbata","Invasive"
"50",-5.786612,43.207644,"Acacia dealbata","Invasive"
"51",2.10256,41.420385,"Acacia dealbata","Invasive"
"52",3.209283,41.909447,"Acacia dealbata","Invasive"
"53",-8.373715,43.27198,"Acacia dealbata","Invasive"
"54",2.124837,41.412922,"Acacia dealbata","Invasive"
"55",-6.818584,37.259457,"Acacia dealbata","Invasive"
"56",2.620222,41.831579,"Acacia dealbata","Invasive"
"57",-8.492669,42.233261,"Acacia dealbata","Invasive"
"58",2.050917,41.393891,"Acacia dealbata","Invasive"
"59",2.124814,41.412741,"Acacia dealbata","Invasive"
"60",-5.056941,40.219743,"Acacia dealbata","Invasive"
"61",-3.77702,40.665808,"Acacia dealbata","Invasive"
"62",-5.113081,40.201618,"Acacia dealbata","Invasive"
"63",-2.854654,43.256333,"Acacia dealbata","Invasive"
"64",-1.456583,43.179603,"Acacia dealbata","Invasive"
"65",-2.306295,42.597098,"Acacia dealbata","Invasive"
"66",-4.958583,43.440033,"Acacia dealbata","Invasive"
"67",-6.357032,43.378754,"Acacia dealbata","Invasive"
"68",-6.327051,43.471207,"Acacia dealbata","Invasive"
"69",-6.352194,43.490692,"Acacia dealbata","Invasive"
"70",-6.327102,43.466751,"Acacia dealbata","Invasive"
"71",-6.311595,43.519382,"Acacia dealbata","Invasive"
"72",-6.310163,43.520515,"Acacia dealbata","Invasive"
"73",-6.326856,43.470886,"Acacia dealbata","Invasive"
"74",-5.6401,43.528248,"Acacia dealbata","Invasive"
"75",-6.523977,42.521564,"Acacia dealbata","Invasive"
"76",-5.673611,43.5125,"Acacia dealbata","Invasive"
"77",-6.310579,43.373661,"Acacia dealbata","Invasive"
"78",-6.352075,43.490578,"Acacia dealbata","Invasive"
"79",-6.325793,43.444557,"Acacia dealbata","Invasive"
"80",-6.311631,43.519218,"Acacia dealbata","Invasive"
"81",-6.311587,43.52018,"Acacia dealbata","Invasive"
"82",-2.93136,43.27262,"Acacia dealbata","Invasive"
"83",-6.327048,43.46653,"Acacia dealbata","Invasive"
"84",-6.325645,43.465572,"Acacia dealbata","Invasive"
"85",-5.773233,43.240958,"Acacia dealbata","Invasive"
"86",-8.765062,42.127634,"Acacia dealbata","Invasive"
"87",-6.261991,43.155785,"Acacia dealbata","Invasive"
"88",2.157762,41.556614,"Acacia dealbata","Invasive"
"89",-8.765017,42.127657,"Acacia dealbata","Invasive"
"90",2.39618,41.590205,"Acacia dealbata","Invasive"
"91",-7.785058,42.424041,"Acacia dealbata","Invasive"
"92",2.077183,41.4163,"Acacia dealbata","Invasive"
"93",-7.070451,37.803997,"Acacia dealbata","Invasive"
"94",-5.056921,40.219718,"Acacia dealbata","Invasive"
"95",2.741647,41.948148,"Acacia dealbata","Invasive"
"96",-6.974409,38.860953,"Acacia dealbata","Invasive"
"97",0.829763,41.149036,"Acacia dealbata","Invasive"
"98",2.285047,41.63887,"Acacia dealbata","Invasive"
"99",-7.588087,43.665145,"Acacia dealbata","Invasive"
"100",3.165998,41.864666,"Acacia dealbata","Invasive"
"101",-7.58716,43.665438,"Acacia dealbata","Invasive"
"102",-7.584355,43.667507,"Acacia dealbata","Invasive"
"103",-8.765164,42.201515,"Acacia dealbata","Invasive"
"104",-8.701709,42.007328,"Acacia dealbata","Invasive"
"105",-5.766921,40.389409,"Acacia dealbata","Invasive"
"106",-2.916412,43.271708,"Acacia dealbata","Invasive"
"107",-7.854745,42.349973,"Acacia dealbata","Invasive"
"108",-8.413948,43.328292,"Acacia dealbata","Invasive"
"109",-7.709255,42.440646,"Acacia dealbata","Invasive"
"110",-8.414052,43.328283,"Acacia dealbata","Invasive"
"111",-1.669367,43.11371,"Acacia dealbata","Invasive"
"112",-3.703255,40.588645,"Acacia dealbata","Invasive"
"113",-8.414007,43.328315,"Acacia dealbata","Invasive"
"114",-3.769985,40.669288,"Acacia dealbata","Invasive"
"115",-8.41405,43.328389,"Acacia dealbata","Invasive"
"116",-7.884108,42.352872,"Acacia dealbata","Invasive"
"117",-6.597335,40.235714,"Acacia dealbata","Invasive"
"118",-8.414046,43.328353,"Acacia dealbata","Invasive"
"119",-8.523095,42.54522,"Acacia dealbata","Invasive"
"120",-3.703267,40.588478,"Acacia dealbata","Invasive"
"121",2.863051,41.700643,"Acacia dealbata","Invasive"
"122",-5.075211,43.465059,"Acacia dealbata","Invasive"
"123",-8.595164,42.864465,"Acacia dealbata","Invasive"
"124",-5.360798,40.155705,"Acacia dealbata","Invasive"
"125",-5.77298,37.922272,"Acacia dealbata","Invasive"
"126",-6.432933,38.415234,"Acacia dealbata","Invasive"
"127",-2.966159,43.362462,"Acacia dealbata","Invasive"
"128",3.19664,41.896833,"Acacia dealbata","Invasive"
"129",-3.688167,40.383748,"Acacia dealbata","Invasive"
"130",2.006124,41.5769,"Acacia dealbata","Invasive"
"131",2.717519,41.643234,"Acacia dealbata","Invasive"
"132",-8.58283,43.247533,"Acacia dealbata","Invasive"
"133",-3.837354,40.342064,"Acacia dealbata","Invasive"
"134",2.029233,41.428328,"Acacia dealbata","Invasive"
"135",-3.791898,40.321381,"Acacia dealbata","Invasive"
"136",-5.739776,37.933456,"Acacia dealbata","Invasive"
"137",-3.630578,40.444327,"Acacia dealbata","Invasive"
"138",2.830442,41.946886,"Acacia dealbata","Invasive"
"139",-5.27124,43.514715,"Acacia dealbata","Invasive"
"140",-0.516922,38.982697,"Acacia dealbata","Invasive"
"141",2.727111,41.708665,"Acacia dealbata","Invasive"
"142",-4.052585,43.338952,"Acacia dealbata","Invasive"
"143",-4.145278,36.872222,"Acacia dealbata","Invasive"
"144",-3.629546,40.490856,"Acacia dealbata","Invasive"
"145",-3.758043,40.395633,"Acacia dealbata","Invasive"
"146",-0.512221,39.549678,"Acacia dealbata","Invasive"
"147",-5.631302,40.964584,"Acacia dealbata","Invasive"
"148",-3.760286,40.661619,"Acacia dealbata","Invasive"
"149",-2.253333,43.203611,"Acacia dealbata","Invasive"
"150",-1.105254,39.487771,"Acacia dealbata","Invasive"
"151",-4.65988,39.744098,"Acacia dealbata","Invasive"
"152",2.449697,41.548722,"Acacia dealbata","Invasive"
"153",-6.253285,39.162202,"Acacia dealbata","Invasive"
"154",-2.078651,37.651716,"Acacia dealbata","Invasive"
"155",-2.853907,43.260235,"Acacia dealbata","Invasive"
"156",-3.710837,40.602813,"Acacia dealbata","Invasive"
