"","lon","lat","SpeciesName","Status","CCAA"
"1",-5.629687,37.845837,"Acacia dealbata","Invasive","Andalucía"
"2",-4.784287,37.895278,"Acacia dealbata","Invasive","Andalucía"
"3",-4.527588,36.594714,"Acacia dealbata","Invasive","Andalucía"
"4",-6.818584,37.259457,"Acacia dealbata","Invasive","Andalucía"
"5",-7.070451,37.803997,"Acacia dealbata","Invasive","Andalucía"
"6",-5.77298,37.922272,"Acacia dealbata","Invasive","Andalucía"
"7",-5.739776,37.933456,"Acacia dealbata","Invasive","Andalucía"
"8",-4.145278,36.872222,"Acacia dealbata","Invasive","Andalucía"
"9",-2.078651,37.651716,"Acacia dealbata","Invasive","Andalucía"
"10",-4.900909,38.134904,"Acacia dealbata","Invasive","Andalucía"
"11",-2.078656,37.651862,"Acacia dealbata","Invasive","Andalucía"
"12",-4.745659,36.528012,"Acacia dealbata","Invasive","Andalucía"
"13",-4.336985,37.180947,"Acacia dealbata","Invasive","Andalucía"
"14",-4.9072,38.129868,"Acacia dealbata","Invasive","Andalucía"
"15",-6.564634,37.897713,"Acacia dealbata","Invasive","Andalucía"
"16",-3.014842,37.904534,"Acacia dealbata","Invasive","Andalucía"
"17",-5.161648,36.747993,"Acacia dealbata","Invasive","Andalucía"
"18",-5.501632,36.07969,"Acacia dealbata","Invasive","Andalucía"
"19",-4.62613,36.893034,"Acacia dealbata","Invasive","Andalucía"
"20",-2.133799,37.410175,"Acacia dealbata","Invasive","Andalucía"
"21",-5.136031,36.813742,"Acacia dealbata","Invasive","Andalucía"
"22",-4.158462,36.871464,"Acacia dealbata","Invasive","Andalucía"
"23",-4.459219,36.981712,"Acacia dealbata","Invasive","Andalucía"
"24",-4.1776,36.756551,"Acacia dealbata","Invasive","Andalucía"
"25",-3.470556,37.838611,"Acacia dealbata","Invasive","Andalucía"
"26",-4.424098,37.411381,"Acacia dealbata","Invasive","Andalucía"
"27",-4.850318,36.685969,"Acacia dealbata","Invasive","Andalucía"
"28",-4.728402,36.677644,"Acacia dealbata","Invasive","Andalucía"
"29",-5.152561,36.44978,"Acacia dealbata","Invasive","Andalucía"
"30",-4.508049,37.416573,"Acacia dealbata","Invasive","Andalucía"
"31",-4.148611,36.880278,"Acacia dealbata","Invasive","Andalucía"
"32",-6.114603,36.35485,"Acacia dealbata","Invasive","Andalucía"
"33",-3.5905,37.150352,"Acacia dealbata","Invasive","Andalucía"
"34",-3.4232,36.885747,"Acacia dealbata","Invasive","Andalucía"
"35",-5.746485,37.868055,"Acacia dealbata","Invasive","Andalucía"
"36",-7.073107,37.217807,"Acacia dealbata","Invasive","Andalucía"
"37",-5.51408,36.078437,"Acacia dealbata","Invasive","Andalucía"
"38",-4.77,37.87,"Acacia melanoxylon","Invasive","Andalucía"
"39",-5.256,36.705,"Acacia melanoxylon","Invasive","Andalucía"
"40",-6.51,36.99,"Acacia melanoxylon","Invasive","Andalucía"
"41",-4.58,37.25,"Acacia melanoxylon","Invasive","Andalucía"
"42",-4.37,37.33,"Acacia melanoxylon","Invasive","Andalucía"
"43",-4.19,37.44,"Acacia melanoxylon","Invasive","Andalucía"
"44",-4.44471,36.71928,"Acacia melanoxylon","Invasive","Andalucía"
"45",-6.4,37.14,"Acacia melanoxylon","Invasive","Andalucía"
"46",-6.74,37.11,"Acacia melanoxylon","Invasive","Andalucía"
"47",-6.52,37.02,"Acacia melanoxylon","Invasive","Andalucía"
"48",-6.52,37.11,"Acacia melanoxylon","Invasive","Andalucía"
"49",-5.29117358347819,36.6187313809849,"Acacia melanoxylon","Invasive","Andalucía"
"50",-5.3311931860253,37.7887506603116,"Acacia melanoxylon","Invasive","Andalucía"
"51",-6.035655,37.167012,"Agave americana","Invasive","Andalucía"
"52",-3.521408,37.139483,"Agave americana","Invasive","Andalucía"
"53",-6.211667,36.533611,"Agave americana","Invasive","Andalucía"
"54",-5.201275,36.392708,"Agave americana","Invasive","Andalucía"
"55",-4.41167,36.722112,"Agave americana","Invasive","Andalucía"
"56",-5.770058,36.747194,"Agave americana","Invasive","Andalucía"
"57",-2.290671,36.832096,"Agave americana","Invasive","Andalucía"
"58",-5.772384,36.745625,"Agave americana","Invasive","Andalucía"
"59",-6.126074,36.685006,"Agave americana","Invasive","Andalucía"
"60",-4.411897,36.72263,"Agave americana","Invasive","Andalucía"
"61",-6.156822,37.229878,"Agave americana","Invasive","Andalucía"
"62",-6.156817,37.229755,"Agave americana","Invasive","Andalucía"
"63",-5.169705,36.743633,"Agave americana","Invasive","Andalucía"
"64",-5.23827,36.755817,"Agave americana","Invasive","Andalucía"
"65",-5.825878,36.108025,"Agave americana","Invasive","Andalucía"
"66",-4.64399,36.843226,"Agave americana","Invasive","Andalucía"
"67",-2.451298,36.848788,"Agave americana","Invasive","Andalucía"
"68",-2.162652,37.346115,"Agave americana","Invasive","Andalucía"
"69",-2.290223,36.834665,"Agave americana","Invasive","Andalucía"
"70",-2.500818,36.8281,"Agave americana","Invasive","Andalucía"
"71",-4.972593,36.775209,"Agave americana","Invasive","Andalucía"
